tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
incorrect,1.png,Magnesiumoxid,400,mg,per_daily_dose,Magnesiumoxid,400,mg,per_serving,context: got per_serving expected per_daily_dose
incorrect,1.png,Magnesiumbisglycinat,350,mg,per_daily_dose,Magnesiumbisglycinat,350,mg,per_serving,context: got per_serving expected per_daily_dose
incorrect,1.png,Magnesiummalat,333,mg,per_daily_dose,Magnesiummalat,333,mg,per_serving,context: got per_serving expected per_daily_dose
missing,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,102.png,Fat,1.0,g,per_serving (1 Riegel* (12.5 g)),Fat,0.1,g,per_serving,qty: got 0.1 expected 1.0
incorrect,102.png,Saturated Fats,0.1,g,per_serving (1 Riegel* (12.5 g)),Saturated Fats,0.79,g,per_serving,qty: got 0.79 expected 0.1
incorrect,102.png,Carbohydrate,7.9,g,per_serving (1 Riegel* (12.5 g)),Carbohydrate,3.9,g,per_serving,qty: got 3.9 expected 7.9
incorrect,102.png,Sugars,3.9,g,per_serving (1 Riegel* (12.5 g)),Sugar,0.6,g,per_serving,qty: got 0.6 expected 3.9
missing,102.png,Energy,356,kcal,per_100g,,,,,nutrient not found in predictions
missing,102.png,Fibre,5.1,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Energy,45,kcal,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Fibre,0.6,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,Sugars,51,g,per_100g,Sugars,51,g,of which,context: got of which expected per_100g
incorrect,103.jpeg,Energy,166,kJ,per_serving (pro Port. (12g)),Energy,166,kJ,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Fat,0.4,g,per_serving (pro Port. (12g)),Fat,0.4,g,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Carbohydrate,6.1,g,per_serving (pro Port. (12g)),Carbohydrate,6.1,g,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Sugars,6.1,g,per_serving (pro Port. (12g)),Sugars,6.1,g,of which,context: got of which expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Fibre,1.9,g,per_serving (pro Port. (12g)),Fibre,1.9,g,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Protein,0.9,g,per_serving (pro Port. (12g)),Protein,0.9,g,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Salt,0,g,per_serving (pro Port. (12g)),Salt,0,g,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
missing,103.jpeg,Energy,328,kcal,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Saturated Fats,0.4,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Energy,39,kcal,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Saturated Fats,0,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
incorrect,104.jpeg,Sugars,72,g,per_100g,Sugars,7.2,g,per_100g,qty: got 7.2 expected 72
incorrect,104.jpeg,Fibre,10,g,per_100g,Fibre,1.0,g,per_100g,qty: got 1.0 expected 10
incorrect,104.jpeg,Sugars,10,g,per_serving (pro Port. (14g)),Sugars,1.0,g,per_serving,qty: got 1.0 expected 10
missing,104.jpeg,Energy,361,kcal,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Saturated Fats,0.6,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Carbohydrate,72,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Energy,51,kcal,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Fat,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Saturated Fats,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Carbohydrate,10,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Fibre,1.4,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Protein,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Salt,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
incorrect,105.png,Saturated Fats,0.0,g,per_serving (1 Portion* (12 g)),Saturated Fats,6.3,g,per_serving,qty: got 6.3 expected 0.0
incorrect,105.png,Carbohydrate,6.3,g,per_serving (1 Portion* (12 g)),Carbohydrate,6.2,g,per_serving,qty: got 6.2 expected 6.3
missing,105.png,Energy,313,kcal,per_100g,,,,,nutrient not found in predictions
missing,105.png,Sugars,51.4,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Energy,38,kcal,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Sugars,6.2,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Salt,0.00,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
incorrect,106.png,Magnesium,250,mg,per_serving (Pro Stick),Magnesium,250,mg,per_stick,context: got per_stick expected per_serving (Pro Stick)
incorrect,106.png,Vitamin E,12,mg α-TE,per_serving (Pro Stick),Vitamin E,12,mg,per_stick,unit: got mg expected mg α-TE | context: got per_stick expected per_serving (Pro Stick)
incorrect,107.png,Vitamin B1,1.1,mg,per_daily_dose (1 Tablette (4.3 g)*),Vitamin B1,1.1,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (4.3 g)*)
incorrect,107.png,Vitamin B2,1.4,mg,per_daily_dose (1 Tablette (4.3 g)*),Vitamin B2,1.4,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (4.3 g)*)
incorrect,107.png,Vitamin B6,1.4,mg,per_daily_dose (1 Tablette (4.3 g)*),Vitamin B6,1.4,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (4.3 g)*)
incorrect,107.png,Vitamin C,80,mg,per_daily_dose (1 Tablette (4.3 g)*),Vitamin C,80,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (4.3 g)*)
incorrect,107.png,Niacin,16,mg NE,per_daily_dose (1 Tablette (4.3 g)*),Niacin,16,mg NE,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (4.3 g)*)
incorrect,107.png,Biotin,50,µg,per_daily_dose (1 Tablette (4.3 g)*),Biotin,50,µg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (4.3 g)*)
incorrect,107.png,Folic Acid,200,µg,per_daily_dose (1 Tablette (4.3 g)*),Folic Acid,200,µg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (4.3 g)*)
incorrect,107.png,Pantothenic Acid,6,mg,per_daily_dose (1 Tablette (4.3 g)*),Pantothenic Acid,6,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (4.3 g)*)
incorrect,107.png,Vitamin E,12,mg α-TE,per_daily_dose (1 Tablette (4.3 g)*),Vitamin E,12,mg a-TE,per_serving,unit: got mg a-TE expected mg α-TE | context: got per_serving expected per_daily_dose (1 Tablette (4.3 g)*)
incorrect,107.png,Vitamin B12,2.5,µg,per_daily_dose (1 Tablette (4.3 g)*),Vitamin B12,80,mg,per_serving,qty: got 80 expected 2.5 | unit: got mg expected µg | context: got per_serving expected per_daily_dose (1 Tablette (4.3 g)*)
incorrect,108.jpeg,Magnesium,240,mg,per_daily_dose (1 Tablette (5.6 g)*),Magnesium,240,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (5.6 g)*)
incorrect,108.jpeg,Vitamin B1,1.1,mg,per_daily_dose (1 Tablette (5.6 g)*),Vitamin B1,1.1,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (5.6 g)*)
incorrect,108.jpeg,Vitamin B2,1.4,mg,per_daily_dose (1 Tablette (5.6 g)*),Vitamin B2,1.4,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (5.6 g)*)
incorrect,108.jpeg,Vitamin B6,1.4,mg,per_daily_dose (1 Tablette (5.6 g)*),Vitamin B6,1.4,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (5.6 g)*)
incorrect,108.jpeg,Vitamin B12,2.5,µg,per_daily_dose (1 Tablette (5.6 g)*),Vitamin B12,2.5,µg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (5.6 g)*)
incorrect,108.jpeg,Vitamin C,80,mg,per_daily_dose (1 Tablette (5.6 g)*),Vitamin C,80,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (5.6 g)*)
incorrect,108.jpeg,Folic Acid,200,µg,per_daily_dose (1 Tablette (5.6 g)*),Folic Acid,200,µg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (5.6 g)*)
incorrect,108.jpeg,Pantothenic Acid,6.0,mg,per_daily_dose (1 Tablette (5.6 g)*),Pantothenic Acid,6.0,mg,per_serving,context: got per_serving expected per_daily_dose (1 Tablette (5.6 g)*)
incorrect,108.jpeg,Vitamin E,12,mg,per_daily_dose (1 Tablette (5.6 g)*),Vitamin E,16,mg,per_serving,qty: got 16 expected 12 | context: got per_serving expected per_daily_dose (1 Tablette (5.6 g)*)
