tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
missing,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,101.png,Energie,383,kcal,per_100g,Energie,383,kj,per_100g,unit: got kj expected kcal
missing,101.png,- davon gesättigte Fettsäuren,< 0.1,g,per_100g,,,,,nutrient not found in predictions
missing,101.png,- davon Zucker,8.9,g,per_100g,,,,,nutrient not found in predictions
missing,101.png,Eiweiß,6.3,g,per_100g,,,,,nutrient not found in predictions
incorrect,101.png,Thiamin,0.44,mg,per_100g,Thiamin,6.3,g,per_100g,qty: got 6.3 expected 0.44 | unit: got g expected mg
incorrect,102.png,Energie,356,kcal,per_100g,Energie,356,kj,per_100g,unit: got kj expected kcal
missing,102.png,- davon gesättigte Fettsäuren,1.1,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,- davon Zucker,31,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Eiweiß,5.9,g,per_100g,,,,,nutrient not found in predictions
incorrect,102.png,Energie,188,kJ,per_serving (1 Riegel* (12.5 g)),Energie,1.0,g,per_daily_dose,qty: got 1.0 expected 188 | unit: got g expected kJ | context: got per_daily_dose expected per_serving (1 Riegel* (12.5 g))
missing,102.png,Energie,45,kcal,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,102.png,Fett,1.0,g,per_serving (1 Riegel* (12.5 g)),Fettsauren,1.1,g,per_100g,nutrient: Fett and Fettsauren are different nutrients. | qty: got 1.1 expected 1.0 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
missing,102.png,- davon gesättigte Fettsäuren,0.1,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,102.png,Kohlenhydrate,7.9,g,per_serving (1 Riegel* (12.5 g)),Kohlenhydrate,31,g,per_100g,qty: got 31 expected 7.9 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
missing,102.png,- davon Zucker,3.9,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,102.png,Ballaststoffe,0.6,g,per_serving (1 Riegel* (12.5 g)),Ballaststoffe,0.6,g,per_daily_dose,context: got per_daily_dose expected per_serving (1 Riegel* (12.5 g))
missing,102.png,Eiweiß,0.7,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Salz,0.02,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,davon gesättigte Fettsäuren,0.4,g,per_100g,Fett,0.4,g,per_100g,nutrient: specificity rule violated: 'Fett' vs 'davon gesättigte Fettsäuren'
missing,103.jpeg,Eiweiß,7.7,g,per_100g,,,,,nutrient not found in predictions
incorrect,103.jpeg,Salz,0,g,per_100g,Salz,7.7,g,per_100g,qty: got 7.7 expected 0
incorrect,103.jpeg,Energie,166,kJ,per_serving (pro Port. (12g)),Energie,39,kcal,per_serving,qty: got 39 expected 166 | unit: got kcal expected kJ
missing,103.jpeg,Energie,39,kcal,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,Fett,0.4,g,per_serving (pro Port. (12g)),Fett,39,kcal,per_serving,qty: got 39 expected 0.4 | unit: got kcal expected g
missing,103.jpeg,davon gesättigte Fettsäuren,0,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Eiweiß,0.9,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,Salz,0,g,per_serving (pro Port. (12g)),Salz,66.0,g,per_serving,qty: got 66.0 expected 0
incorrect,104.jpeg,davon gesättigte Fettsäuren,0.6,g,per_100g,Fett,361,kcal,per_100g,nutrient: Nutrient does not match due to specificity rule violation. | qty: got 361 expected 0.6 | unit: got kcal expected g
missing,104.jpeg,Eiweiß,3.2,g,per_100g,,,,,nutrient not found in predictions
incorrect,104.jpeg,Energie,214,kJ,per_serving (pro Port. (14g)),Energie,14,g,per_serving,qty: got 14 expected 214 | unit: got g expected kJ
missing,104.jpeg,Energie,51,kcal,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
incorrect,104.jpeg,Fett,0,g,per_serving (pro Port. (14g)),Fett,51,kcal,per_serving,qty: got 51 expected 0 | unit: got kcal expected g
missing,104.jpeg,davon gesättigte Fettsäuren,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Eiweiß,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
incorrect,105.png,Energie,313,kcal,per_100g,Energie,38,kcal,per_100g,qty: got 38 expected 313
incorrect,105.png,- davon gesättigte Fettsäuren,0.4,g,per_100g,Fett,0.3,g,per_100g,nutrient: specificity rule violated: 'Fett' vs 'Fettsäuren' | qty: got 0.3 expected 0.4
incorrect,105.png,Kohlenhydrate,52.1,g,per_100g,Kohlenhydrate,6.2,g,per_100g,qty: got 6.2 expected 52.1
missing,105.png,- davon Zucker,51.4,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Eiweiß,7.0,g,per_100g,,,,,nutrient not found in predictions
incorrect,105.png,Energie,158,kJ,per_serving (1 Portion* (12 g)),Energie,158,kj,per_100g,context: got per_100g expected per_serving (1 Portion* (12 g))
missing,105.png,Energie,38,kcal,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
incorrect,105.png,Fett,0.3,g,per_serving (1 Portion* (12 g)),Fettsauren,0.4,g,per_100g,nutrient: Fett and Fettsauren are different nutrients. | qty: got 0.4 expected 0.3 | context: got per_100g expected per_serving (1 Portion* (12 g))
missing,105.png,- davon gesättigte Fettsäuren,0.0,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Kohlenhydrate,6.3,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,- davon Zucker,6.2,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
incorrect,105.png,Ballaststoffe,1.9,g,per_serving (1 Portion* (12 g)),Ballaststoffe,0.8,g,per_100g,qty: got 0.8 expected 1.9 | context: got per_100g expected per_serving (1 Portion* (12 g))
