tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
incorrect,1.png,Magnesiumbisglycinat,350,mg,per_daily_dose,Magnesiumbisglycinat,333,mg,per_daily_dose,qty: got 333 expected 350
incorrect,1.png,Magnesiummalat,333,mg,per_daily_dose,Magnesiummalat,350,mg,per_daily_dose,qty: got 350 expected 333
incorrect,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,Magnesium,420,mg,per_daily_dose,nutrient: no match
missing,1.png,Magnesium (gesamt),400,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,102.png,Energy,188,kJ,per_serving (1 Riegel* (12.5 g)),Energy,188,kJ,per_100g,context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Fat,1.0,g,per_serving (1 Riegel* (12.5 g)),Fat,1.0,g,per_100g,context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Saturated Fats,0.1,g,per_serving (1 Riegel* (12.5 g)),Saturated Fats,0.1,g,per_100g,context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Carbohydrate,63,g,per_100g,Carbohydrate,3.9,g,per_100g,qty: got 3.9 expected 63
incorrect,102.png,Protein,5.9,g,per_100g,Protein,0.02,g,per_100g,qty: got 0.02 expected 5.9
incorrect,102.png,Sugars,3.9,g,per_serving (1 Riegel* (12.5 g)),Sugars,0.6,g,per_100g,qty: got 0.6 expected 3.9 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Fibre,0.6,g,per_serving (1 Riegel* (12.5 g)),Fibre,0.7,g,per_100g,qty: got 0.7 expected 0.6 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
missing,102.png,Energy,356,kcal,per_100g,,,,,nutrient not found in predictions
missing,102.png,Energy,45,kcal,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Carbohydrate,7.9,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Protein,0.7,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Salt,0.02,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,Saturated Fats,0.4,g,per_100g,Saturated Fats,0.4,g,per_serving,context: got per_serving expected per_100g
incorrect,103.jpeg,Protein,7.7,g,per_100g,Protein,66.0,g,per_100g,qty: got 66.0 expected 7.7
missing,103.jpeg,Energy,328,kcal,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Sugars,51,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Energy,39,kcal,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Fat,0.4,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Saturated Fats,0,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Sugars,6.1,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Protein,0.9,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Salt,0,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
incorrect,104.jpeg,Fat,0,g,per_serving (pro Port. (14g)),Fat,0.6,g,per_serving,qty: got 0.6 expected 0
missing,104.jpeg,Energy,361,kcal,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Energy,51,kcal,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Saturated Fats,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Protein,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Salt,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
incorrect,105.png,Protein,7.0,g,per_100g,Protein,0.00,g,per_100g,qty: got 0.00 expected 7.0
incorrect,105.png,Fat,0.3,g,per_serving (1 Portion* (12 g)),Fat,0.4,g,davon gesättigte,qty: got 0.4 expected 0.3 | context: got davon gesättigte expected per_serving (1 Portion* (12 g))
incorrect,105.png,Carbohydrate,6.3,g,per_serving (1 Portion* (12 g)),Carbohydrate,51.4,g,davon Zucker,qty: got 51.4 expected 6.3 | context: got davon Zucker expected per_serving (1 Portion* (12 g))
missing,105.png,Energy,313,kcal,per_100g,,,,,nutrient not found in predictions
missing,105.png,Saturated Fats,0.4,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Sugars,51.4,g,per_100g,,,,,nutrient not found in predictions
missing,105.png,Energy,38,kcal,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Saturated Fats,0.0,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Sugars,6.2,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Fibre,1.9,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.png,Protein,0.8,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
