image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.jpeg,Magnesiumoxid,magnesiumoxid,400,,mg,,per_daily_dose,400,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Energie,g,383,,kcal,,per_100g,,False,False,False,False,False,False,fast+llm,Energie does not match 'g',Quantity is missing in prediction,Unit is missing in prediction,Context is missing in prediction
101.jpeg,Fett,Fett,0.8,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Kohlenhydrate,Kohlenhydrate,86.1,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Salz,Salz,0.09,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Thiamin,Thiamin,0.44,,mg,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.jpeg,Natrium,Natrium,36,,mg,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Fett,Fett,7.7,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Salz,Salz,0.14,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.jpeg,Fett,Fettsauren,1.0,,g,,per_serving,,False,False,False,False,False,False,fast+llm,Nutrient specificity mismatch: 'Fett' vs 'Fettsauren',Quantity missing in prediction,Unit missing in prediction,Context missing in prediction
103.jpeg,Energie,Energie,1383,Nahrwerte,kJ,,per_100g,pro,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Energie,Energie,328,39,kcal,,per_100g,pro,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Fett,Fett,3.7,39,g,,per_100g,pro,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,davon gesättigte Fettsäuren,Fett,0.4,kcal,g,,per_100g,pro,False,False,False,False,False,False,fast+llm,Nutrient does not match due to specificity rule violation.,Quantity values do not match and are not partial matches.,Unit is missing in prediction and present in ground truth.,Context does not match serving size suffixes.
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,51,g,,per_100g,pro,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
103.jpeg,davon Zucker,davon Zucker,51,51,g,,per_100g,pro,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
103.jpeg,Salz,Salz,0,66.0,g,,per_100g,pro,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
