tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
incorrect,1.png,Magnesium (gesamt),400,mg,per_daily_dose,Magnesium (gesamt),400,mg,per_serving,context: got per_serving expected per_daily_dose
incorrect,1.png,Magnesiumoxid,400,mg,per_daily_dose,Magnesiumoxid,400,mg,per_serving,context: got per_serving expected per_daily_dose
incorrect,1.png,Magnesiumbisglycinat,350,mg,per_daily_dose,Magnesiumbisglycinat,350,mg,per_serving,context: got per_serving expected per_daily_dose
incorrect,1.png,Magnesiummalat,333,mg,per_daily_dose,Magnesiummalat,333,mg,per_serving,context: got per_serving expected per_daily_dose
missing,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,102.png,Energy,356,kcal,per_100g,,,,,nutrient not found in predictions
missing,102.png,Salt,0.14,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Energy,45,kcal,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Fat,1.0,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Saturated Fats,0.1,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Carbohydrate,7.9,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Sugars,3.9,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Fibre,0.6,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Salt,0.02,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,Sugars,51,g,per_100g,Sugars,51,g,of which,context: got of which expected per_100g
incorrect,103.jpeg,Energy,166,kJ,per_serving (pro Port. (12g)),Energy,166,kJ,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Fat,0.4,g,per_serving (pro Port. (12g)),Fat,0.4,g,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Carbohydrate,6.1,g,per_serving (pro Port. (12g)),Carbohydrate,6.1,g,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Sugars,6.1,g,per_serving (pro Port. (12g)),Sugars,6.1,g,of which,context: got of which expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Fibre,1.9,g,per_serving (pro Port. (12g)),Fibre,1.9,g,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Protein,0.9,g,per_serving (pro Port. (12g)),Protein,0.9,g,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Salt,0,g,per_serving (pro Port. (12g)),Salt,0,g,per_12g,context: got per_12g expected per_serving (pro Port. (12g))
missing,103.jpeg,Energy,328,kcal,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Saturated Fats,0.4,g,per_100g,,,,,nutrient not found in predictions
missing,103.jpeg,Energy,39,kcal,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Saturated Fats,0,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
incorrect,104.jpeg,Sugars,72,g,per_100g,Sugars,7.2,g,per_100g,qty: got 7.2 expected 72
incorrect,104.jpeg,Fibre,10,g,per_100g,Fibre,1.0,g,per_100g,qty: got 1.0 expected 10
incorrect,104.jpeg,Sugars,10,g,per_serving (pro Port. (14g)),Sugars,1.0,g,per_serving,qty: got 1.0 expected 10
missing,104.jpeg,Energy,361,kcal,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Saturated Fats,0.6,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Carbohydrate,72,g,per_100g,,,,,nutrient not found in predictions
missing,104.jpeg,Energy,51,kcal,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Fat,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Saturated Fats,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Carbohydrate,10,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Fibre,1.4,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Protein,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Salt,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
incorrect,105.png,Energy,1320,kJ,per_100g,Energy,1320,kJ,per_serving,context: got per_serving expected per_100g
incorrect,105.png,Energy,313,kcal,per_100g,Energy,313,kcal,per_serving,context: got per_serving expected per_100g
incorrect,105.png,Saturated Fats,0.4,g,per_100g,Saturated Fats,0.4,g,davon gesättigte Fettsäuren,context: got davon gesättigte Fettsäuren expected per_100g
incorrect,105.png,Sugars,51.4,g,per_100g,Sugars,51.4,g,davon Zucker,context: got davon Zucker expected per_100g
