tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
missing,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,101.png,Thiamin,0.44,mg,per_100g,Thiamin,6.3,g,per_100g,qty: got 6.3 expected 0.44 | unit: got g expected mg
incorrect,102.png,- davon Zucker,3.9,g,per_serving (1 Riegel* (12.5 g)),-davon Zucker,3.9,g,per_daily_dose,context: got per_daily_dose expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Ballaststoffe,0.6,g,per_serving (1 Riegel* (12.5 g)),Ballaststoffe,0.6,g,per_daily_dose,context: got per_daily_dose expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Kohlenhydrate,7.9,g,per_serving (1 Riegel* (12.5 g)),Kohlenhydrate,31,g,per_100g,qty: got 31 expected 7.9 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Eiweiß,0.7,g,per_serving (1 Riegel* (12.5 g)),Eiweiss,0.14,g,per_100g,qty: got 0.14 expected 0.7 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Energie,188,kJ,per_serving (1 Riegel* (12.5 g)),Energie,1.0,g,per_daily_dose,qty: got 1.0 expected 188 | unit: got g expected kJ | context: got per_daily_dose expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,- davon gesättigte Fettsäuren,1.1,g,per_100g,davon gesattigte,1.1,g,per_100g,nutrient: no match
incorrect,102.png,- davon gesättigte Fettsäuren,0.1,g,per_serving (1 Riegel* (12.5 g)),davon gesattigte,0.1,g,per_daily_dose,nutrient: no match | context: got per_daily_dose expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Fett,1.0,g,per_serving (1 Riegel* (12.5 g)),Fettsauren,1.1,g,per_100g,nutrient: no match | qty: got 1.1 expected 1.0 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
