tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
missing,1.jpeg,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.jpeg,Magnesiumoxid,400,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.jpeg,Magnesiumbisglycinat,350,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.jpeg,Magnesiummalat,333,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,101.jpeg,Energie,1625,kJ,per_100g,Energie,,,per_100g,qty: got None expected 1625 | unit: got None expected kJ
incorrect,101.jpeg,Energie,383,kcal,per_100g,Fett,0.8,,per_100g,nutrient: R1 - 'Fett' is a parent nutrient of 'Energie'. | qty: got 0.8 expected 383 | unit: got None expected kcal
incorrect,101.jpeg,Fett,0.8,g,per_100g,-davon gesattigte Fettsauren <0.1g,0.8,,per_100g,unit: got None expected g
incorrect,101.jpeg,- davon gesättigte Fettsäuren,< 0.1,g,per_100g,Kohlenhydrate,86.1,,per_100g,nutrient: R1 - 'Kohlenhydrate' is a parent nutrient of '- davon gesättigte Fettsäuren'. | qty: got 86.1 expected < 0.1 | unit: got None expected g
incorrect,101.jpeg,Kohlenhydrate,86.1,g,per_100g,-davon Zucker,86.1,,per_100g,nutrient: R1 - 'Kohlenhydrate' is a parent nutrient of '-davon Zucker'. | unit: got None expected g
incorrect,101.jpeg,- davon Zucker,8.9,g,per_100g,-davon Zucker,8.9,,per_100g,unit: got None expected g
incorrect,101.jpeg,Ballaststoffe,3.0,g,per_100g,Ballaststoffe,3.0,,per_100g,unit: got None expected g
incorrect,101.jpeg,Eiweiß,6.3,g,per_100g,Salz,660.0,,per_100g,"nutrient: R1: 'Eiweiß' is a specific nutrient, while 'Salz' is a different category. | qty: got 660.0 expected 6.3 | unit: got None expected g"
incorrect,101.jpeg,Salz,0.09,g,per_100g,Thiamin,,,per_100g,nutrient: R1 - Thiamin is a different nutrient than Salz | qty: got None expected 0.09
incorrect,101.jpeg,Thiamin,0.44,mg,per_100g,Natrium,36,mg,per_100g,"nutrient: R1: 'Natrium' is a sub-nutrient of 'Sodium', and does not match the parent nutrient 'Thiamin'. | qty: got 36 expected 0.44"
missing,101.jpeg,Natrium,36,mg,per_100g,,,,,nutrient not found in predictions
incorrect,102.jpeg,Energie,1502,kJ,per_100g,Energie,7.7,,per_100g,qty: got 7.7 expected 1502 | unit: got None expected kJ
incorrect,102.jpeg,Energie,356,kcal,per_100g,Energie,1.0,,per_100g,qty: got 1.0 expected 356 | unit: got None expected kcal
incorrect,102.jpeg,Fett,7.7,g,per_100g,Fett,7.7,,per_100g,unit: got None expected g
incorrect,102.jpeg,- davon gesättigte Fettsäuren,1.1,g,per_100g,Fett,1.1,,per_100g,nutrient: R1 - 'Fett' is a parent nutrient of '- davon gesättigte Fettsäuren'. | unit: got None expected g
incorrect,102.jpeg,Kohlenhydrate,63,g,per_100g,Kohlenhydrate,1.1,,per_100g,qty: got 1.1 expected 63 | unit: got None expected g
incorrect,102.jpeg,- davon Zucker,31,g,per_100g,-davon gesattigte,7.7,,per_100g,"nutrient: R1 - 'davon Zucker' is a sub-nutrient of 'Energie', but the predicted nutrient does not match any known sugar-related nutrients after normalization. | qty: got 7.7 expected 31 | unit: got None expected g"
incorrect,102.jpeg,Ballaststoffe,5.1,g,per_100g,Ballaststoffe,31,,per_100g,qty: got 31 expected 5.1 | unit: got None expected g
incorrect,102.jpeg,Eiweiß,5.9,g,per_100g,-davon gesattigte,1.1,,per_100g,nutrient: R1 - 'Eiweiß' vs '-davon gesattigte' | qty: got 1.1 expected 5.9 | unit: got None expected g
incorrect,102.jpeg,Salz,0.14,g,per_100g,Salz,0.14,,per_100g,unit: got None expected g
incorrect,102.jpeg,Energie,188,kJ,per_serving (1 Riegel* (12.5 g)),Fettsauren,1.1,,per_100g,nutrient: R1 - 'Energie' vs 'Fettsauren' | qty: got 1.1 expected 188 | unit: got None expected kJ | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.jpeg,Energie,45,kcal,per_serving (1 Riegel* (12.5 g)),Fettsauren,31,,per_100g,nutrient: R1 - 'Energie' vs 'Fettsauren' | qty: got 31 expected 45 | unit: got None expected kcal | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.jpeg,Fett,1.0,g,per_serving (1 Riegel* (12.5 g)),Kohlenhydrate,31,,per_100g,nutrient: R1 - 'Fett' vs 'Kohlenhydrate' | qty: got 31 expected 1.0 | unit: got None expected g | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.jpeg,- davon gesättigte Fettsäuren,0.1,g,per_serving (1 Riegel* (12.5 g)),Ballaststoffe,5.1,,per_100g,"nutrient: R1 - 'davon gesättigte Fettsäuren' is a specific sub-nutrient of 'Fett', and 'Ballaststoffe' does not match any known equivalent. | qty: got 5.1 expected 0.1 | unit: got None expected g | context: got per_100g expected per_serving (1 Riegel* (12.5 g))"
incorrect,102.jpeg,Kohlenhydrate,7.9,g,per_serving (1 Riegel* (12.5 g)),Salz,5.9,,per_100g,"nutrient: R1 - 'Kohlenhydrate' is a carbohydrate, while 'Salz' is salt. These are different nutrients. | qty: got 5.9 expected 7.9 | unit: got None expected g | context: got per_100g expected per_serving (1 Riegel* (12.5 g))"
missing,102.jpeg,- davon Zucker,3.9,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.jpeg,Ballaststoffe,0.6,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.jpeg,Eiweiß,0.7,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.jpeg,Salz,0.02,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,Energie,1383,kJ,per_100g,Energie,328,kcal,,qty: got 328 expected 1383 | unit: got kcal expected kJ | context: got None expected per_100g
incorrect,103.jpeg,Energie,328,kcal,per_100g,Energie,3.7,kcal,,qty: got 3.7 expected 328 | context: got None expected per_100g
incorrect,103.jpeg,Fett,3.7,g,per_100g,Fett,328,kcal,,qty: got 328 expected 3.7 | unit: got kcal expected g | context: got None expected per_100g
incorrect,103.jpeg,davon gesättigte Fettsäuren,0.4,g,per_100g,Fett,0.4,kcal,,nutrient: R1 - 'Fett' is a parent nutrient of 'davon gesättigte Fettsäuren'. | unit: got kcal expected g | context: got None expected per_100g
incorrect,103.jpeg,Kohlenhydrate,51,g,per_100g,Kohlenhydrate,51,,,unit: got None expected g | context: got None expected per_100g
