image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.jpeg,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
101.jpeg,Energie,Fett,383,0.8,kcal,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,R1 - 'Fett' is a parent nutrient of 'Energie'.,R6 - Predicted quantity (0.8) and ground truth quantity (383) are not trace amounts and do not match.,"R10 - Ground truth unit is 'kcal', while predicted has no unit.",R12 - Both have 'per_100g' after stripping serving size suffix.
101.jpeg,Fett,-davon gesattigte Fettsauren <0.1g,0.8,0.8,g,,per_100g,per_100g,True,True,False,True,False,False,fast+llm,"R1 does not apply, both are 'Fett' (fat) with OCR noise.",Quantity in prediction is part of a longer string and cannot be extracted as a numeric value independently. Ground truth quantity is 0.8g but predicted quantity is within a larger text that includes other information and thus does not match the ground truth.,"Unit is missing in prediction, while present in ground truth (per_100g).",
101.jpeg,- davon gesättigte Fettsäuren,Kohlenhydrate,< 0.1,86.1,g,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,R1 - 'Kohlenhydrate' is a parent nutrient of '- davon gesättigte Fettsäuren'.,R6 - Predicted quantity (86.1) and ground truth quantity (< 0.1) are not both <= 0.1.,R10 - 'g' in the predicted tuple does not match any unit in the ground truth tuple.,"R12 - Both tuples have 'per_100g', which matches after stripping serving size suffix."
101.jpeg,Kohlenhydrate,-davon Zucker,86.1,86.1,g,,per_100g,per_100g,False,True,False,True,False,False,fast+llm,R1 - 'Kohlenhydrate' is a parent nutrient of '-davon Zucker'.,R7 - Quantities are numerically equal within tolerance.,"R10 - Predicted unit is missing, while ground truth has 'g'.",R12 and R13 - Contexts after stripping match.
101.jpeg,- davon Zucker,-davon Zucker,8.9,8.9,g,,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.0,g,,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
101.jpeg,Eiweiß,Salz,6.3,660.0,g,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,"R1: 'Eiweiß' is a specific nutrient, while 'Salz' is a different category.",R6: Both values are outside the trace amount threshold and do not match numerically.,R10: No matching unit found between 'g' and None.,R12: The context 'per_100g' matches after stripping serving size suffix.
101.jpeg,Salz,Thiamin,0.09,,g,,per_100g,per_100g,False,False,True,True,False,False,fast+llm,R1 - Thiamin is a different nutrient than Salz,R6 - Predicted quantity is missing and ground truth is non-zero,"Both unit fields are 'per_100g', which matches according to R10","Both context fields are 'per_100g' after stripping serving size suffix, which matches according to R12 and R13"
