image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.jpeg,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.jpeg,Magnesiumsalze der Citronensäure,MMagnesiumoxid,420,350,mg,mg,per_daily_dose,per_daily_dose,False,False,True,True,False,fast+llm,"R1 - 'Magnesiumsalze der Citronensäure' is a specific form of magnesium, while 'MMagnesiumoxid' is a general form.",R6 - Both values are above the trace amount threshold and do not match exactly within tolerance.,R10 - mg matches mg,R12 - 'per_daily_dose' stripped of suffix matches 'per_daily_dose'
1.jpeg,Magnesiumoxid,MMagnesiumoxid,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.jpeg,Magnesiumbisglycinat,Magnesiummalat,350,350,mg,mg,per_daily_dose,per_daily_dose,False,True,True,True,False,fast+llm,R1 -- SPECIFICITY: 'Magnesiummalat' is a shorter name that contains the longer compound name 'Magnesiumbisglycinat'.,"350 == 350, within +/-0.05 tolerance.",mg = mg,per_daily_dose = per_daily_dose
1.jpeg,Magnesiummalat,Magnesiummalat,333,333,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,per_100g,True,False,False,True,False,fast,substring match,mismatch,mismatch,alias match
101.jpeg,Energie,Fett,383,0.8,kcal,g,per_100g,per_100g,False,False,False,True,False,fast+llm,R1 - 'Fett' is a sub-nutrient of 'Energie',R6 - Both values are greater than 0.1 and do not match,R10 - 'kcal' and 'g' are not equivalent units,R12 - Both contexts are stripped to 'per_100g'
101.jpeg,Fett,"-davon gesattigte Fettsauren <0,1g",0.8,0.8,g,g,per_100g,per_100g,True,True,True,True,True,fast+llm,"R1 does not apply, both are 'Fett' (fat) with OCR noise.",0.8g in prediction is not a trace amount and does not match the ground truth of '0.8g'.,"Both have units of 'g', which matches R10.","Both contexts are 'per_100g' after stripping serving size suffix, matching R12."
101.jpeg,- davon gesättigte Fettsäuren,Kohlenhydrate,< 0.1,86.1,g,g,per_100g,per_100g,False,False,True,True,False,fast+llm,R1 - 'Kohlenhydrate' is a parent nutrient of '- davon gesättigte Fettsäuren'.,R6 - Predicted quantity (86.1) and ground truth quantity (< 0.1) are not both <= 0.1.,R10 - 'g' is equivalent to 'g'.,"R12 - Both contexts are stripped to 'per_100g', which matches."
101.jpeg,Kohlenhydrate,-davon Zucker,86.1,86.1,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,R1 - 'Kohlenhydrate' is a parent nutrient of '-davon Zucker'.,Values are the same and within tolerance.,Both units are 'g'.,"Contexts are both 'per_100g', after stripping serving size suffix."
101.jpeg,- davon Zucker,-davon Zucker,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
